Day,Mean,Standard Deviation,Maximum,Minimum,Median,Range
1,3.9084375,3.640832386157833,12.577,0.0,2.3905000000000003,12.577
2,4.319958333333333,3.5384954066534826,12.172,0.0,3.2505,12.172
3,4.630125,3.974329525282461,14.239,0.0,3.0475,14.239
4,2.1996041666666666,1.2066741127787382,3.899,0.0,2.5170000000000003,3.899
5,2.4151249999999997,1.6917239177329695,7.617,0.0,2.527,7.617
6,3.2630416666666666,2.9960608674776963,10.234,0.0,2.534,10.234
7,5.280927083333332,5.215758397343924,16.6335,0.0,3.1295,16.6335
8,4.034645833333333,3.446746455313519,11.543,0.0,2.6235,11.543
9,4.322416666666666,3.584087294917445,11.202,0.0,2.5445,11.202
10,4.151229166666666,3.737679432764389,13.265,0.0,2.4645,13.265
11,2.1005625,0.8981074642197525,3.611,0.0,2.251,3.611
12,1.928979166666667,1.0905431886749135,4.222,0.0,2.217,4.222
13,3.1208333333333336,3.0384151267181223,10.327,0.0,2.2185,10.327
14,4.584625,4.077292988209472,12.108,0.0,2.3495,12.108
15,6.040499999999999,5.011535153597614,13.99,0.0,3.093,13.99
16,4.7051875,4.950001653368519,15.328,0.0,2.7735,15.328
17,4.888833333333333,4.458920947290319,13.93,0.0,2.7365,13.93
18,2.352854166666667,1.247709578005274,4.059,0.0,2.662,4.059
19,2.179625,1.1531591136913248,4.506,0.0,2.385,4.506
20,2.9210625,2.7404564878808215,10.606,0.0,2.3465,10.606
