Day,Mean,Standard Deviation,Maximum,Minimum,Median,Range
1,4.277934690568661,3.3190250466247466,11.177047512629603,1.103411953022194,2.608093800548672,10.073635559607409
2,4.521236874025391,3.0935864896963245,10.773131798214118,1.3529551292495776,3.1669141208434395,9.42017666896454
3,5.355819962540188,3.9202115203697914,14.820454427527594,1.3663883839777418,3.0698746389972036,13.454066043549851
4,2.119408192832242,0.5579936666553892,3.6187652236705476,1.3318858591315759,2.02892039315216,2.286879364538972
5,2.2332177550575114,0.8268576855626733,5.496261685000853,1.194607070798249,2.077448257290061,4.301654614202604
6,4.109987315354196,2.611445254557094,10.77145988930537,1.1453807353728533,3.0571838642767615,9.626079153932517
7,5.39242600934332,4.266527336261079,14.42070729011794,1.3333766040302943,2.942538471150708,13.087330686087647
8,3.9954002529772623,2.876980781082803,10.922284912264658,1.1940803574596914,2.5885804060343185,9.728204554804966
9,3.864517127618767,2.6479906916027343,10.605297232178923,1.143975362729174,2.183320010565731,9.46132186944975
10,3.852256265696704,2.6844763529968136,10.26357956121737,1.3061083867801917,2.366787708046537,8.957471174437178
11,1.8482193457305147,0.555602928008879,3.4241564568296186,1.0980511209990385,1.7446924227704512,2.3261053358305803
12,1.7961253114255618,0.4362250051207092,2.821836138388028,1.0543363984860954,1.8215130221136608,1.7674997399019325
13,3.792930751859489,2.549654542893383,10.564672439781912,1.1001446526220136,2.5250506197258273,9.464527787159899
14,3.9442199602435615,2.980413343983551,11.128851583748053,1.2461652240622232,2.057096349110774,9.882686359685831
15,4.848536008110841,3.776672639880234,12.600125648020697,1.120770239164347,2.68617257930065,11.47935540885635
16,5.3169471100638415,4.277967987584071,14.509852611290166,1.311211667890534,2.8555984018554588,13.198640943399631
17,4.229963239933739,3.0974898063615735,12.213208883092072,1.1682882789279199,2.8254535373133773,11.044920604164153
18,2.094455240141985,0.6298878554187723,3.7157060301698035,1.1317728037726287,2.041661418774406,2.583933226397175
19,2.061151188437132,0.599449871471436,3.2296781687389973,1.1743270304257707,1.9999342225469356,2.0553511383132266
20,4.059109190751042,3.3006330281550706,11.768732682545727,1.2112298096764373,2.2686601526661683,10.55750287286929
