Day,Mean,Standard Deviation,Maximum,Minimum,Median,Range
1,4.444392017679201,3.435392616651211,12.725591897956736,1.1436161558850384,2.8170151261650975,11.581975742071698
2,4.116874999999999,2.557213968489594,8.5204,1.4573999999999998,3.066,7.063000000000001
3,4.711233333333333,3.316264371588837,10.825149999999999,1.7555999999999998,2.7342,9.06955
4,2.783833333333334,0.4280424682317504,3.899,2.371,2.601,1.528
5,3.019625,1.0807878258326586,7.617,2.207,2.5780000000000003,5.41
6,3.803260416666666,2.3123018902825123,7.917699999999999,1.4357,2.5077499999999997,6.481999999999999
7,4.840113541666667,3.5832652572036765,11.64345,1.8025,2.42235,9.84095
8,5.323479166666666,3.3656740653917088,11.543,2.231,3.3805,9.312
9,5.074666666666666,3.222826480718857,11.202,2.117,3.064,9.085
10,3.7638125,2.6036288086932524,9.285499999999999,1.5217999999999998,2.1818999999999997,7.763699999999999
11,2.4136249999999997,0.44957699385561906,3.711,2.008,2.267,1.7029999999999998
12,1.7218687499999998,0.336297512758816,2.9554,1.4083999999999999,1.5945999999999998,1.5470000000000002
13,3.5658375765858565,2.40208773416381,9.211181219413719,1.1457898728534535,2.17106296428806,8.065391346560265
14,5.270791666666667,3.795050012051439,12.108,2.054,2.9560000000000004,10.054
15,6.333291666666667,4.704147798365316,13.99,2.026,3.1035,11.964
16,6.884854166666666,5.091355126175481,15.378,2.233,3.7165,13.145
17,4.202595179710946,2.9265951645270984,11.395107894390017,1.125364230269047,2.5264445840917364,10.26974366412097
18,2.8322291666666666,0.5489379781105118,4.059,2.081,2.7355,1.9780000000000002
19,2.667708333333333,0.48086893681871684,4.506,2.103,2.4859999999999998,2.403
20,5.820229166666667,4.448434528558995,15.222,2.115,3.1025,13.107
