Day,Mean,Standard Deviation,Maximum,Minimum,Median,Range
1,4.206766666666666,3.094322987056611,10.2921,1.4594999999999998,2.4717,8.8326
2,4.116874999999999,2.557213968489594,8.5204,1.4573999999999998,3.066,7.063000000000001
3,4.711233333333333,3.316264371588837,10.825149999999999,1.7555999999999998,2.7342,9.06955
4,1.9486833333333333,0.29962972776222524,2.7293,1.6597,1.8206999999999998,1.0695999999999999
5,2.1137375,0.756551478082861,5.3319,1.5448999999999997,1.8046,3.7870000000000004
6,3.803260416666666,2.3123018902825123,7.917699999999999,1.4357,2.5077499999999997,6.481999999999999
7,4.840113541666667,3.5832652572036765,11.64345,1.8025,2.42235,9.84095
8,3.7264354166666664,2.355971845774196,8.0801,1.5616999999999999,2.3663499999999997,6.5184
9,3.5522666666666662,2.2559785365032,7.841399999999999,1.4819,2.1448,6.359499999999999
10,3.7638125,2.6036288086932524,9.285499999999999,1.5217999999999998,2.1818999999999997,7.763699999999999
11,1.6895375000000001,0.3147038956989333,2.5976999999999997,1.4056,1.5868999999999998,1.1920999999999997
12,1.7218687499999998,0.336297512758816,2.9554,1.4083999999999999,1.5945999999999998,1.5470000000000002
13,3.5011375,2.2655391386547694,7.832999999999999,1.4112,2.0692,6.421799999999999
14,3.689554166666666,2.6565350084360073,8.4756,1.4377999999999997,2.0692,7.037800000000001
15,4.433304166666666,3.2929034588557213,9.793,1.4181999999999997,2.1724499999999995,8.3748
16,4.8193979166666665,3.563948588322836,10.7646,1.5631,2.60155,9.2015
17,4.08419375,2.875547226174543,9.751,1.5070999999999999,2.56445,8.2439
18,1.9825604166666666,0.38425658467735835,2.8413,1.4566999999999999,1.91485,1.3846
19,1.8673958333333331,0.3366082557731018,3.1542,1.4721,1.7401999999999997,1.6821
20,4.0741604166666665,3.113904169991296,10.655399999999998,1.4805000000000001,2.17175,9.174899999999997
